epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,704.262,1.24694,2.19611,1.50804,0.78671,0.83511,0.83888,0.57872,1.04533,2.08545,1.61284,0.000330789,0.000330789,0.000330789
2,1400.51,1.2644,1.52887,1.48222,0.82344,0.74843,0.79699,0.47399,1.26565,1.96173,1.8911,0.000650973,0.000650973,0.000650973
3,2119.89,1.27264,1.34615,1.47005,0.7114,0.7044,0.70651,0.36289,1.54009,2.02254,2.15811,0.000957956,0.000957956,0.000957956
4,2849.16,1.26335,1.22124,1.46302,0.83885,0.81846,0.84847,0.57738,1.12773,1.54391,1.67855,0.0009406,0.0009406,0.0009406
5,3604.95,1.23443,1.11582,1.4308,0.83219,0.81094,0.8603,0.54061,1.16521,1.32644,1.76413,0.0009208,0.0009208,0.0009208
6,4324.94,1.20951,1.02697,1.41235,0.94913,0.82137,0.9096,0.63601,1.08984,1.09956,1.6363,0.000901,0.000901,0.000901
7,5045.37,1.19575,0.97755,1.40218,0.91657,0.82916,0.91528,0.61605,1.1523,0.9771,1.69617,0.0008812,0.0008812,0.0008812
8,5773.81,1.14463,0.89353,1.37306,0.92222,0.82024,0.90384,0.59607,1.14489,1.03043,1.75628,0.0008614,0.0008614,0.0008614
9,6520.49,1.11968,0.86429,1.3579,0.95256,0.8239,0.91026,0.63834,1.0563,0.85637,1.65998,0.0008416,0.0008416,0.0008416
10,7278.07,1.12994,0.84517,1.34102,0.96395,0.84094,0.93126,0.67685,0.98744,0.81951,1.53151,0.0008218,0.0008218,0.0008218
11,7960.9,1.10427,0.81549,1.33668,0.88376,0.86069,0.90921,0.63365,1.07406,0.8321,1.65489,0.000802,0.000802,0.000802
12,8641.19,1.07723,0.79428,1.32192,0.90844,0.84906,0.93714,0.63623,1.0556,0.85512,1.64428,0.0007822,0.0007822,0.0007822
13,9317.86,1.05395,0.7449,1.30104,0.89352,0.86792,0.92195,0.60996,1.07541,0.85997,1.61226,0.0007624,0.0007624,0.0007624
